연월일,시분초,온도,습도,강수량,풍향
2023-12-08,10:43:19,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:43:20,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:43:22,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:43:23,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:43:24,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:43:25,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:43:26,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:43:27,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:43:28,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
2023-12-08,10:43:30,12℃,습도51%,강수량0mm,풍향 북북동 1.6 m/s
